종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
267250,현대중공업지주,"69,600","100","0.14","9,091,295,400","5,497,918,716,000"
005380,현대차,"230,000","0","0.00","119,693,291,500","49,143,683,010,000"
001450,현대해상,"25,600","-100","0.39","7,423,793,550","2,288,640,000,000"
057050,현대홈쇼핑,"86,700","-300","0.34","1,424,350,400","1,040,400,000,000"
008770,호텔신라,"93,700","-1,600","1.68","25,357,099,200","3,677,548,937,700"
241590,화승엔터프라이즈,"18,100","-300","1.63","4,228,218,400","1,096,255,043,700"
004800,효성,"121,500","12,000","10.96","50,692,972,500","2,560,129,537,500"
298050,효성첨단소재,"568,000","16,000","2.90","58,233,957,000","2,544,610,464,000"
298020,효성티앤씨,"898,000","-8,000","0.88","32,943,802,000","3,886,258,436,000"
093370,후성,"12,400","300","2.48","58,526,412,500","1,148,324,555,600"
081660,휠라홀딩스,"53,300","-300","0.56","16,815,090,600","3,238,093,432,600"
069260,휴켐스,"24,750","200","0.81","15,051,084,750","1,011,745,053,000"
